,datetime,athlete,distance,duration,gender,age_group,country,major
0,2020-01-01,0,0.0,0.0,F,18 - 34,United States,CHICAGO 2019
1,2020-01-01,1,5.72,31.633333333333333,M,35 - 54,Germany,BERLIN 2016
2,2020-01-01,2,0.0,0.0,M,35 - 54,United Kingdom,"LONDON 2018,LONDON 2019"
3,2020-01-01,3,0.0,0.0,M,18 - 34,United Kingdom,LONDON 2017
4,2020-01-01,4,8.07,38.61666666666667,M,35 - 54,United States,BOSTON 2017
5,2020-01-01,5,10.09,43.56666666666667,F,35 - 54,United States,BOSTON 2015
6,2020-01-01,6,9.82,50.53333333333333,M,55 +,United States,BOSTON 2017
7,2020-01-01,7,0.0,0.0,M,35 - 54,Australia,CHICAGO 2012
8,2020-01-01,8,10.05,59.05,M,35 - 54,United Kingdom,LONDON 2019
9,2020-01-01,9,0.0,0.0,M,35 - 54,Germany,BERLIN 2016
